"filename", "language", "HTML", "PHP", "JavaScript", "CSS", "Markdown", "JSON", "XML", "YAML", "comment", "blank", "total"
"c:\laragon\www\icei\resources\lang\vendor\adminlte\la\adminlte.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\laragon\www\icei\resources\lang\vendor\adminlte\la\menu.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\laragon\www\icei\resources\lang\vendor\adminlte\nl\adminlte.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\laragon\www\icei\resources\lang\vendor\adminlte\pl\adminlte.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\laragon\www\icei\resources\lang\vendor\adminlte\pt-br\adminlte.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\laragon\www\icei\resources\lang\vendor\adminlte\pt-br\menu.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\laragon\www\icei\resources\lang\vendor\adminlte\ru\adminlte.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\laragon\www\icei\resources\lang\vendor\adminlte\ru\menu.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\laragon\www\icei\resources\lang\vendor\adminlte\tr\adminlte.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\laragon\www\icei\resources\lang\vendor\adminlte\tr\menu.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\laragon\www\icei\resources\lang\vendor\adminlte\uk\adminlte.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\laragon\www\icei\resources\lang\vendor\adminlte\uk\menu.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\laragon\www\icei\resources\lang\vendor\adminlte\vi\adminlte.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\laragon\www\icei\resources\lang\vendor\adminlte\vi\menu.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\laragon\www\icei\resources\lang\vendor\adminlte\zh-CN\adminlte.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
